feature,importance
Volatility_21D,0.06594235266627521
Vol_lag1,0.0008525964680310333
Vol_min_21D,0.0007244748496677572
Rate_Spread_1Y_3M,0.000625711842811294
Sentiment_Score,0.0005685820667498514
Price_MA20,0.0005144873783897224
VIX_Close,0.00034491192866530285
VIX_change_5D,0.00030922734519448457
VIX_lag1,0.00026051897276526884
Dividend_Yield,0.00024711720054777314
Return_lag21,0.00022029420200926763
Return_lag1,0.00021214025752174374
VIX_MA20,0.00020988420070159147
Sentiment_lag1,0.00020788193385175326
Return_lag2,0.00018760398071461127
VIX_ratio,0.00017308321286020625
Price_ratio,0.00017153537495447722
Interest_Rate_Momentum,0.00016017160914004884
VIX_Return,0.0001553591805885867
Price_ratio,0.00015290652231347653
Vol_lag21,0.00014405888148211015
Vol_change_5D,0.0001379411500881575
Vol_max_21D,0.00012871721279258616
Rate_MA20,0.00012480959943523369
VIX_JPM_Corr,0.00012120241969333046
Daily_Return,0.00011037887180601661
Rate_MA5,0.00010996818730742464
Return_lag5,0.00010695541924023807
VIX_JPM_Corr_lag1,7.661204638779453e-05
Rate_Spread_10Y_3M,6.171732941494503e-05
Vol_lag5,5.693610823050128e-05
